Comment,Designator,Footprint,JLCPCB Part Number
ABM3B-12.000MHz-B2-T,12MHz,,C596868
W25Q16JVSNIQ,16MB,,C115407
SKQGAKE010,BOOTSEL,,C127478
SKQGAKE010,RESET,,C127478
GRM155C80J105KE15D,C0201,SMD_0402_1005Metric,C162158
GRM155C80J105KE15D,C0210,SMD_0402_1005Metric,C162158
GCM155R71H104KE02J,C0202,SMD_0402_1005Metric,C2649549
GCM155R71H104KE02J,C0203,SMD_0402_1005Metric,C2649550
GCM155R71H104KE02J,C0204,SMD_0402_1005Metric,C2649551
GCM155R71H104KE02J,C0205,SMD_0402_1005Metric,C2649552
GCM155R71H104KE02J,C0206,SMD_0402_1005Metric,C2649553
GCM155R71H104KE02J,C0207,SMD_0402_1005Metric,C2649554
GCM155R71H104KE02J,C0208,SMD_0402_1005Metric,C2649555
GCM155R71H104KE02J,C0209,SMD_0402_1005Metric,C2649556
GCM155R71H104KE02J,C0211,SMD_0402_1005Metric,C2649557
GCM155R71H104KE02J,C0212,SMD_0402_1005Metric,C2649558
GCM155R71H104KE02J,C0401,SMD_0402_1005Metric,C2649559
C0402C0G270G500NTB,C0301,SMD_0402_1005Metric,C140675
C0402C0G270G500NTB,C0302,SMD_0402_1005Metric,C140675
GRM155R60J106ME15D,C0501,SMD_0402_1005Metric,C412251
GRM155R60J106ME15D,C0502,SMD_0402_1005Metric,C412251
PZ2.54-2*20,GPIO Pin Header,,C5224014
CX90B1-24P,J0101,,C597821
NCP1117ST33T3G,LDO,,C26537
CR-02JL6----1M,R0101,SMD_0402_1005Metric,C279988
RC0402FR-075K1L,R0102,SMD_0402_1005Metric,C105872
RC0402FR-075K1L,R0103,SMD_0402_1005Metric,C105872
RC0402FR-0727RL,R0201,SMD_0402_1005Metric,C138021
RC0402FR-0727RL,R0202,SMD_0402_1005Metric,C138021
RC0402FR-071KL,R0301,SMD_0402_1005Metric,C106235
RC0402FR-071KL,R0401,SMD_0402_1005Metric,C106235
RP2040,RP2040,,C2040
PCM12SMTR,SW1,,C221841
