Designator,Mid X,Mid Y,Layer,Rotation
12MHz,28.744mm,-5.5618mm,Top,90
16MB,7.6228mm,-9.845mm,Top,90
BOOTSEL,14.2206mm,-11.7994mm,Top,0
RESET,21.7988mm,-11.7994mm,Top,0
C0201,14.1119mm,2.0489mm,Top,180
C0210,14.1118mm,1.2052mm,Top,180
C0202,16.4233mm,-7.2295mm,Top,270
C0203,14.1116mm,-1.4975mm,Top,180
C0204,15.4426mm,-7.2295mm,Top,270
C0205,15.5176mm,4.2146mm,Top,90
C0206,20.0233mm,-7.2293mm,Top,270
C0207,16.4233mm,4.2144mm,Top,90
C0208,20.0231mm,4.2146mm,Top,90
C0209,24.5904mm,-1.1536mm,Top,0
C0211,25.3561mm,-1.9984mm,Top,0
C0212,25.3561mm,-2.8598mm,Top,0
C0401,4.4824mm,-7.8498mm,Top,270
C0301,27.224mm,-2.8621mm,Top,180
C0302,27.224mm,-8.1196mm,Top,0
C0501,3.6844mm,2.6192mm,Top,180
C0502,3.6844mm,4.961mm,Top,180
GPIO Pin Header,0.13mm,11.5201mm,Top,90
J0101,-27.7636mm,-3.1758mm,Top,270
LDO,7.0644mm,3.8673mm,Top,0
R0101,-23.6498mm,-0.26mm,Top,270
R0102,-23.649mm,-2.04mm,Top,270
R0103,-22.717mm,-2.0408mm,Top,270
R0201,14.0818mm,0.3374mm,Top,180
R0202,14.0818mm,-0.5675mm,Top,180
R0301,30.744mm,-2.8621mm,Top,0
R0401,4.4824mm,-12.83mm,Top,90
RP2040,19.0233mm,-1.5675mm,Top,90
SW1,-21.5mm,-13mm,Top,0
